numero_processo,data_deposito,data_publicacao_bpi,classe_nice,requerente,marca,status,codigo_status,observacoes,proxima_acao,prazo_limite,prazo_oposicao
47842/2023,03/05/2023,15/06/2023,5,SHIELD CHEMICALS (PROPRIETARY) LIMITED,MR SHEEN,PUBLICADO,STATUS_01,"Preparações farmacêuticas, médicas e veterinárias",Aguardar próximo BPI,03/07/2023,03/07/2023
47843/2023,04/05/2023,15/06/2023,30,"PRINCE FOOD INDÚSTRIA, LDA",TAKOS,PUBLICADO,STATUS_01,Pipocas,Aguardar próximo BPI,04/07/2023,04/07/2023
47844/2023,04/05/2023,15/06/2023,42,"DATAPROXY TECHNOLOGY, LIMITADA",,PUBLICADO,STATUS_01,Software,Aguardar próximo BPI,04/07/2023,04/07/2023
47845/2023,04/05/2023,15/06/2023,42,"INTERACTIVE - SOLUÇÕES TECNOLÓGICAS, LDA",,PUBLICADO,STATUS_01,Prestação de serviços de fornecimento de internet,Aguardar próximo BPI,04/07/2023,04/07/2023
47848/2023,05/05/2023,15/06/2023,12,"HAPPY TOUR (MOZ), LDA",,PUBLICADO,STATUS_01,Motorizadas e seus acessórios,Aguardar próximo BPI,05/07/2023,05/07/2023
47849/2023,05/05/2023,15/06/2023,45,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,GERACÃO 18 DE MARÇO,PUBLICADO,STATUS_01,Serviços jurídicos; serviços pessoais,Aguardar próximo BPI,05/07/2023,05/07/2023
47850/2023,05/05/2023,15/06/2023,45,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,AMIGOS E SIMPATIZANTES,PUBLICADO,STATUS_01,Serviços jurídicos; serviços pessoais,Aguardar próximo BPI,05/07/2023,05/07/2023
47851/2023,05/05/2023,15/06/2023,45,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,CENTRO 8 DE MARÇO,PUBLICADO,STATUS_01,Serviços jurídicos; serviços pessoais,Aguardar próximo BPI,05/07/2023,05/07/2023
47852/2023,05/05/2023,15/06/2023,45,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,GERAÇÃO 8 DE MARÇO - À VOLTA DA FUGUEIRA,PUBLICADO,STATUS_01,Serviços jurídicos; serviços pessoais,Aguardar próximo BPI,05/07/2023,05/07/2023
47853/2023,05/05/2023,15/06/2023,45,ASSOCIAÇÃO GERAÇÃO 8 DE MARÇO,OITOMARCISTAS,PUBLICADO,STATUS_01,Serviços jurídicos; serviços pessoais,Aguardar próximo BPI,05/07/2023,05/07/2023
47854/2023,05/05/2023,15/06/2023,35,"GOFUEL TRACKNG SYSTEM, LIMITADA",,PUBLICADO,STATUS_01,Publicidade; gestão de negócios comerciais,Aguardar próximo BPI,05/07/2023,05/07/2023
47855/2023,05/05/2023,15/06/2023,35,"GOFUEL TRACKNG SYSTEM, LIMITADA",,PUBLICADO,STATUS_01,Publicidade; gestão de negócios comerciais,Aguardar próximo BPI,05/07/2023,05/07/2023
47857/2023,05/05/2023,15/06/2023,35,"GOFUEL TRACKNG SYSTEM, LIMITADA",GOFUEL EDGE,PUBLICADO,STATUS_01,Publicidade; gestão de negócios comerciais,Aguardar próximo BPI,05/07/2023,05/07/2023
47858/2023,05/05/2023,15/06/2023,35,"GOFUEL TRACKNG SYSTEM, LIMITADA",GOFUEL SUPPORT,PUBLICADO,STATUS_01,Publicidade; gestão de negócios comerciais,Aguardar próximo BPI,05/07/2023,05/07/2023
47859/2023,05/05/2023,15/06/2023,14,UNIPRO EDITORA LTDA,OQJF - O QUE JESUS FARIA,PUBLICADO,STATUS_01,Joalharia e relojoaria,Aguardar próximo BPI,05/07/2023,05/07/2023
